
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0128     3244     3244     00132020     00     00000     03000002     1     30000002     0     00000000
0129     3248     3248     20020022     00     00000     03000002     1     00000022     0     00000000
012a     324c     324c     0000000c     00     00000     03000002     0     00000000     0     00000000
012b     3250     3250     1600fffa     00     00000     30000002     0     00000000     0     00000000
012c     323c     323c     00108100     00     00000     30000002     1     00000000     0     00000000
012d     3240     3240     02149825     00     00000     30000002     1     00000002     0     00000000
012e     3244     3244     00132020     00     00000     30000002     1     00000002     0     00000000
012f     3248     3248     20020022     00     00000     30000002     1     00000022     0     00000000
0130     324c     324c     0000000c     00     00000     30000002     0     00000000     0     00000000
0131     3250     3250     1600fffa     00     00000     00000002     0     00000000     0     00000000
0132     3254     3254     0295a022     00     00000     00000002     1     00000001     0     00000000
0133     3258     3258     1680fff7     00     00000     00000002     0     00000000     0     00000000
0134     3238     3238     00168020     00     00000     00000002     1     00000003     0     00000000
0135     323c     323c     00108100     00     00000     00000002     1     00000030     0     00000000
0136     3240     3240     02149825     00     00000     00000002     1     00000031     0     00000000
0137     3244     3244     00132020     00     00000     00000002     1     00000031     0     00000000
0138     3248     3248     20020022     00     00000     00000002     1     00000022     0     00000000
0139     324c     324c     0000000c     00     00000     00000002     0     00000000     0     00000000
013a     3250     3250     1600fffa     00     00000     00000031     0     00000000     0     00000000
013b     323c     323c     00108100     00     00000     00000031     1     00000300     0     00000000
013c     3240     3240     02149825     00     00000     00000031     1     00000301     0     00000000
013d     3244     3244     00132020     00     00000     00000031     1     00000301     0     00000000
013e     3248     3248     20020022     00     00000     00000031     1     00000022     0     00000000
013f     324c     324c     0000000c     00     00000     00000031     0     00000000     0     00000000
0140     3250     3250     1600fffa     00     00000     00000301     0     00000000     0     00000000
0141     323c     323c     00108100     00     00000     00000301     1     00003000     0     00000000
0142     3240     3240     02149825     00     00000     00000301     1     00003001     0     00000000
0143     3244     3244     00132020     00     00000     00000301     1     00003001     0     00000000
0144     3248     3248     20020022     00     00000     00000301     1     00000022     0     00000000
0145     324c     324c     0000000c     00     00000     00000301     0     00000000     0     00000000
0146     3250     3250     1600fffa     00     00000     00003001     0     00000000     0     00000000
0147     323c     323c     00108100     00     00000     00003001     1     00030000     0     00000000
0148     3240     3240     02149825     00     00000     00003001     1     00030001     0     00000000
0149     3244     3244     00132020     00     00000     00003001     1     00030001     0     00000000
014a     3248     3248     20020022     00     00000     00003001     1     00000022     0     00000000
