CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0117     31ac     31ac     00132020     00     00000     00000003     1     00000022     0     00000000
0118     31b0     31b0     20020022     00     00000     00000003     1     00000022     0     00000000
0119     31b4     31b4     0000000c     00     00000     00000003     0     00000000     0     00000000
011a     31b8     31b8     1600fffa     00     00000     00000022     0     00000000     0     00000000
011b     31a4     31a4     00108100     00     00000     00000022     1     00000200     0     00000000
011c     31a8     31a8     02149825     00     00000     00000022     1     00000202     0     00000000
011d     31ac     31ac     00132020     00     00000     00000022     1     00000202     0     00000000
011e     31b0     31b0     20020022     00     00000     00000022     1     00000022     0     00000000
011f     31b4     31b4     0000000c     00     00000     00000022     0     00000000     0     00000000
0120     31b8     31b8     1600fffa     00     00000     00000202     0     00000000     0     00000000
0121     31a4     31a4     00108100     00     00000     00000202     1     00002000     0     00000000
0122     31a8     31a8     02149825     00     00000     00000202     1     00002002     0     00000000
0123     31ac     31ac     00132020     00     00000     00000202     1     00002002     0     00000000
0124     31b0     31b0     20020022     00     00000     00000202     1     00000022     0     00000000
0125     31b4     31b4     0000000c     00     00000     00000202     0     00000000     0     00000000
0126     31b8     31b8     1600fffa     00     00000     00002002     0     00000000     0     00000000
0127     31a4     31a4     00108100     00     00000     00002002     1     00020000     0     00000000
0128     31a8     31a8     02149825     00     00000     00002002     1     00020002     0     00000000
0129     31ac     31ac     00132020     00     00000     00002002     1     00020002     0     00000000
012a     31b0     31b0     20020022     00     00000     00002002     1     00000022     0     00000000
012b     31b4     31b4     0000000c     00     00000     00002002     0     00000000     0     00000000
012c     31b8     31b8     1600fffa     00     00000     00020002     0     00000000     0     00000000
012d     31a4     31a4     00108100     00     00000     00020002     1     00200000     0     00000000
012e     31a8     31a8     02149825     00     00000     00020002     1     00200002     0     00000000
012f     31ac     31ac     00132020     00     00000     00020002     1     00200002     0     00000000
0130     31b0     31b0     20020022     00     00000     00020002     1     00000022     0     00000000
0131     31b4     31b4     0000000c     00     00000     00020002     0     00000000     0     00000000
0132     31b8     31b8     1600fffa     00     00000     00200002     0     00000000     0     00000000
0133     31a4     31a4     00108100     00     00000     00200002     1     02000000     0     00000000
0134     31a8     31a8     02149825     00     00000     00200002     1     02000002     0     00000000
0135     31ac     31ac     00132020     00     00000     00200002     1     02000002     0     00000000
0136     31b0     31b0     20020022     00     00000     00200002     1     00000022     0     00000000
0137     31b4     31b4     0000000c     00     00000     00200002     0     00000000     0     00000000
0138     31b8     31b8     1600fffa     00     00000     02000002     0     00000000     0     00000000
0139     31a4     31a4     00108100     00     00000     02000002     1     20000000     0     00000000
013a     31a8     31a8     02149825     00     00000     02000002     1     20000002     0     00000000
013b     31ac     31ac     00132020     00     00000     02000002     1     20000002     0     00000000
013c     31b0     31b0     20020022     00     00000     02000002     1     00000022     0     00000000
013d     31b4     31b4     0000000c     00     00000     02000002     0     00000000     0     00000000
013e     31b8     31b8     1600fffa     00     00000     20000002     0     00000000     0     00000000
013f     31a4     31a4     00108100     00     00000     20000002     1     00000000     0     00000000
0140     31a8     31a8     02149825     00     00000     20000002     1     00000002     0     00000000
0141     31ac     31ac     00132020     00     00000     20000002     1     00000002     0     00000000
0142     31b0     31b0     20020022     00     00000     20000002     1     00000022     0     00000000
0143     31b4     31b4     0000000c     00     00000     20000002     0     00000000     0     00000000
0144     31b8     31b8     1600fffa     00     00000     00000002     0     00000000     0     00000000
0145     31bc     31bc     0295a022     00     00000     00000002     1     00000001     0     00000000
0146     31c0     31c0     1680fff7     00     00000     00000002     0     00000000     0     00000000
0147     31a0     31a0     00168020     00     00000     00000002     1     00000002     0     00000000
0148     31a4     31a4     00108100     00     00000     00000002     1     00000020     0     00000000
0149     31a8     31a8     02149825     00     00000     00000002     1     00000021     0     00000000
014a     31ac     31ac     00132020     00     00000     00000002     1     00000021     0     00000000
014b     31b0     31b0     20020022     00     00000     00000002     1     00000022     0     00000000
014c     31b4     31b4     0000000c     00     00000     00000002     0     00000000     0     00000000
014d     31b8     31b8     1600fffa     00     00000     00000021     0     00000000     0     00000000
014e     31a4     31a4     00108100     00     00000     00000021     1     00000200     0     00000000
014f     31a8     31a8     02149825     00     00000     00000021     1     00000201     0     00000000
0150     31ac     31ac     00132020     00     00000     00000021     1     00000201     0     00000000
0151     31b0     31b0     20020022     00     00000     00000021     1     00000022     0     00000000
0152     31b4     31b4     0000000c     00     00000     00000021     0     00000000     0     00000000
0153     31b8     31b8     1600fffa     00     00000     00000201     0     00000000     0     00000000
0154     31a4     31a4     00108100     00     00000     00000201     1     00002000     0     00000000
0155     31a8     31a8     02149825     00     00000     00000201     1     00002001     0     00000000
0156     31ac     31ac     00132020     00     00000     00000201     1     00002001     0     00000000
0157     31b0     31b0     20020022     00     00000     00000201     1     00000022     0     00000000
0158     31b4     31b4     0000000c     00     00000     00000201     0     00000000     0     00000000
0159     31b8     31b8     1600fffa     00     00000     00002001     0     00000000     0     00000000
015a     31a4     31a4     00108100     00     00000     00002001     1     00020000     0     00000000
015b     31a8     31a8     02149825     00     00000     00002001     1     00020001     0     00000000
015c     31ac     31ac     00132020     00     00000     00002001     1     00020001     0     00000000
015d     31b0     31b0     20020022     00     00000     00002001     1     00000022     0     00000000
015e     31b4     31b4     0000000c     00     00000     00002001     0     00000000     0     00000000
015f     31b8     31b8     1600fffa     00     00000     00020001     0     00000000     0     00000000
0160     31a4     31a4     00108100     00     00000     00020001     1     00200000     0     00000000
0161     31a8     31a8     02149825     00     00000     00020001     1     00200001     0     00000000
0162     31ac     31ac     00132020     00     00000     00020001     1     00200001     0     00000000
0163     31b0     31b0     20020022     00     00000     00020001     1     00000022     0     00000000
0164     31b4     31b4     0000000c     00     00000     00020001     0     00000000     0     00000000
0165     31b8     31b8     1600fffa     00     00000     00200001     0     00000000     0     00000000
0166     31a4     31a4     00108100     00     00000     00200001     1     02000000     0     00000000
0167     31a8     31a8     02149825     00     00000     00200001     1     02000001     0     00000000
0168     31ac     31ac     00132020     00     00000     00200001     1     02000001     0     00000000
0169     31b0     31b0     20020022     00     00000     00200001     1     00000022     0     00000000
016a     31b4     31b4     0000000c     00     00000     00200001     0     00000000     0     00000000
